DATE;Close
2011-03-31;68587.0
2011-06-30;62404.0
2011-09-30;52324.0
2011-12-31;56754.0
2012-03-31;64511.0
2012-06-30;54355.0
2012-09-30;59176.0
2012-12-31;60952.0
2013-03-31;56352.0
2013-06-30;47457.0
2013-09-30;52338.0
2013-12-31;51507.0
2014-03-31;50415.0
2014-06-30;53168.0
2014-09-30;54116.0
2014-12-31;50007.0
2015-03-31;51150.0
2015-06-30;53081.0
2015-09-30;45059.0
2015-12-31;43350.0
2016-03-31;50055.0
2016-06-30;51527.0
2016-09-30;58367.0
2016-12-31;60227.0
2017-03-31;64984.0
2017-06-30;62900.0
2017-09-30;74294.0
2017-12-31;76402.0
2018-03-31;85366.0
2018-06-30;72763.0
2018-09-30;79342.0
2018-12-31;87887.0
2019-03-31;95415.0
2019-06-30;100967.0
2019-09-30;104745.0
2019-12-31;115964.0
2020-03-31;73020.0
2020-06-30;95056.0
2020-09-30;94603.0
2020-12-31;119306.0
2021-03-31;116634.0
2021-06-30;126802.0
2021-09-30;110979.0
2021-12-31;104822.0
2022-03-31;119999.0
2022-06-30;98542.0
2022-09-30;110037.0
2022-12-31;110031.0
2023-03-31;101882.0
2023-06-30;118087.0
2023-09-30;116565.0
2023-12-31;134185.0
2024-03-31;128106.0
