DATA;SELIC
2011-03-31;11.67
2011-06-30;12.17
2011-09-30;11.9
2011-12-31;10.9
2012-03-31;9.65
2012-06-30;8.39
2012-09-30;7.39
2012-12-31;7.14
2013-03-31;7.16
2013-06-30;7.9
2013-09-30;8.9
2013-12-31;9.9
2014-03-31;10.65
2014-06-30;10.9
2014-09-30;10.9
2014-12-31;11.65
2015-03-31;12.65
2015-06-30;13.65
2015-09-30;14.15
2015-12-31;14.15
2016-03-31;14.15
2016-06-30;14.15
2016-09-30;14.15
2016-12-31;13.65
2017-03-31;12.15
2017-06-30;10.15
2017-09-30;8.15
2017-12-31;6.9
2018-03-31;6.4
2018-06-30;6.4
2018-09-30;6.4
2018-12-31;6.4
2019-03-31;6.4
2019-06-30;6.4
2019-09-30;5.4
2019-12-31;4.4
2020-03-31;3.65
2020-06-30;2.15
2020-09-30;1.9
2020-12-31;1.9
2021-03-31;2.65
2021-06-30;4.15
2021-09-30;6.15
2021-12-31;9.15
2022-03-31;11.65
2022-06-30;13.15
2022-09-30;13.65
2022-12-31;13.65
2023-03-31;13.65
2023-06-30;13.65
2023-09-30;12.75
2023-12-31;11.75
2024-03-31;10.75
